train_id,train_number,train_name,train_type
299,11035,"SHARAVATHI E",SF
300,11036,"SHARAVATI EX",SF
301,11037,"PUNE-GKP EXP",EXP
302,11038,"GKP-PUNE EXP",EXP
303,11039,"MAHARASHTRA",SHT
304,11041,"CSMT -MAS EX",SF
305,11043,"LTT-MADURAI",SF
306,11044,"LOKAMANYA TT",SF
307,11045,"DIKSHABHOOMI",SF
308,11046,"DIKSHABHUMI",SF
309,11047,"MRJ UBL EXP",EXP
310,11048,"UBL MRJ EXPR",EXP
311,11049,"ADI-KOP EXPR",EXP
312,11050,"KOP-ADI EXPR",EXP
313,11051,"SUR - KOP EX",SF
314,11052,"KOP - SUR EX",SF
315,11053,"LTT-AMH EXPR",EXP
316,11054,"AMH-LTT EXPR",EXP
317,11055,"GODAN EXPRES",EXP
318,11057,"AMRITSAR EXP",EXP
319,11058,"ASR CSMT EXP",EXP
320,11059,"CHHAPRA EXPR",EXP
321,11060,"CPR LTT EXPR",EXP
322,11061,"LTT-DBG  EXP",EXP
323,11062,"DBG  LTT EXP",EXP
324,11063,"MS SA SUPER",SF
325,11064,"SA MS SUPERF",SF
326,11067,"SAKET EXPRES",EXP
327,11071,"KAMAYANI EXP",EXP
328,11073,"LTT-MAS EXPR",EXP
329,11074,"CHENNAI - LT",SF
330,11075,"LTT-BIDR EXP",EXP
331,11076,"BIDR-LTT EXP",EXP
332,11077,"JHELUM EXPRE",EXP
333,11079,"LTT-GKP EXPR",EXP
334,11080,"GKP-LTT EXPR",EXP
335,11081,"LTT-GKP VIA",SF
336,11082,"GKP-LTT VIA",SF
337,11083,"LTT-KZJ TADO",SF
338,11084,"KZJ-LTT TADO",SF
339,11085,"LTT-MAO DOUB",SF
340,11086,"MAO-LTT DOUB",SF
341,11087,"VRL-PUNE EXP",EXP
342,11088,"PUNE-VRL EXP",EXP
343,11089,"BGKTPUNE EXP",EXP
344,11090,"PUNE BGKT EX",SF
345,11091,"BHUJ PUNE EX",SF
346,11092,"PUNE BHUJ EX",SF
347,11093,"MAHANAGARI E",SF
348,11095,"AHIMSA EXPRE",EXP
349,11097,"POORNA EXPRE",EXP
350,11101,"PUNE-GWALIOR",SF
